"","dpi","temp","treatment","mean_fever","median_fever","mean_bird_cv_fever","mean_bird_pv_fever","mean_bird_v2_fever","mean_cv_lower_ci_fever","mean_cv_upper_ci_fever","mean_pv_lower_ci_fever","mean_pv_upper_ci_fever","mean_v2_lower_ci_fever","mean_v2_upper_ci_fever","norm_fever"
"1",0,"Cold","Control",32.8925,33.1625,0.0310187387923958,0.0354017236313156,0.000961237290127124,0.0144289803500843,0.0388559418612804,0.0164886529054826,0.0437565289657353,0.000200750567111495,0.001497924682585,34.8925
"2",0,"Cold","Infected",33.0696428571429,32.825,0.037752674636489,0.0402070313779989,0.00142323595460963,0.0191746266018527,0.052352775541342,0.0229776345901994,0.054599629388559,0.00036502664985271,0.00257264554325219,35.0696428571429
"3",0,"Warm","Control",36.9225,36.7875,0.0196459680091368,0.0210735335389748,0.000385815148235383,0.00771851252545072,0.0267689254247202,0.00888633779155302,0.0293867465385598,5.39982021290029e-05,0.000733344978190844,34.9225
"4",0,"Warm","Infected",36.7535714285714,36.7125,0.029428829435724,0.0331127031083015,0.000865306597984219,0.0173563544853582,0.0373891043252801,0.0192839767967105,0.0419546582454931,0.000310860218963475,0.00139630918679713,34.7535714285714
"5",3,"Cold","Control",32.16,32.0625,0.0238397009451077,0.0276184960898753,0.00056800852410588,0.0141945649568522,0.029467817391309,0.0148192096604368,0.0320162112759012,0.000204897867875508,0.000870855637601929,34.16
"6",3,"Cold","Infected",31.8589285714286,31.725,0.0114031619268439,0.0132022181392886,0.000130015195780632,0.0079800976175374,0.0133537370721693,0.00852007221197858,0.0150053521402172,6.94579122292702e-05,0.00017726059635879,33.8589285714286
"7",3,"Warm","Control",36.275,36.3875,0.027021945237827,0.0313614505078381,0.000729652742565636,0.0157493550047029,0.0346559078766017,0.0161772946565294,0.0389446626740977,0.000225983201510522,0.00116094007999185,34.275
"8",3,"Warm","Infected",35.9821428571429,36.2125,0.0241981084283781,0.0273356562526965,0.000585205785170222,0.0141615277504422,0.0309689806905203,0.0154343268982486,0.0346164041403339,0.00018167867064866,0.000974744893985862,33.9821428571429
"9",7,"Cold","Control",32.495,32.575,0.0125832950506594,0.0144585394059184,0.000158314246962635,0.00575742435345248,0.0165739878714545,0.00638711145030959,0.0192767667596258,3.14841050493535e-05,0.000274590923894018,34.495
"10",7,"Cold","Infected",33.2517857142857,32.65,0.0474291439713163,0.0465068378832889,0.0022444746988276,0.0167841047920901,0.0574677702813612,0.0171659888167429,0.0594873746227518,0.000683186339714213,0.0033443058961664,35.2517857142857
"11",7,"Warm","Control",35.455,35.6125,0.0216945610142745,0.0251114283551531,0.000470432566643396,0.0118675717094289,0.0276589745227102,0.0114743865094017,0.0315628810840946,0.000126240656786176,0.000744655784586256,33.455
"12",7,"Warm","Infected",36.6892857142857,36.9,0.0333008931496734,0.0383033726240381,0.00110772107784764,0.0218376842628987,0.040269452309726,0.0238026050432575,0.0453179402385576,0.000443963760372331,0.00164792981957517,34.6892857142857
"13",14,"Cold","Control",32.455,32.5125,0.0266141166309784,0.0309800887877382,0.000707809854397115,0.0152042590860982,0.0337750500457549,0.0164955504659084,0.0389962646898572,0.00022466231901016,0.00112802573145005,34.455
"14",14,"Cold","Infected",33.9928571428571,32.875,0.0711533517288223,0.0739154205099608,0.00503729663952772,0.042518479875294,0.0859744623947513,0.0426693295085433,0.0894191988153763,0.0020956425785297,0.00746885769269533,35.9928571428571
"15",14,"Warm","Control",35.3975,35.4,0.0206056377322497,0.023406971591464,0.000424412104238531,0.00995015857040092,0.0279254739038901,0.00987171102255108,0.0317075072345423,7.15074888413342e-05,0.000786784667481066,33.3975
"16",14,"Warm","Infected",37.5017857142857,37.5125,0.05556495469762,0.0609916789109376,0.00307796109588512,0.0374935024579811,0.0699049019444717,0.0398065174911239,0.0736963932130075,0.00138082912074106,0.00469063544277301,35.5017857142857
"17",18,"Cold","Control",32.555,32.6375,0.0179942955126196,0.0199262656460775,0.00032368986194313,0.00890604879139472,0.0241346421615214,0.00968954518527469,0.0268977983183424,7.90393700879416e-05,0.000597549960009071,34.555
"18",18,"Cold","Infected",33.5328571428571,33.055,0.0579455291971555,0.0646590807726044,0.00334644803772088,0.0364090685649116,0.0700821856151404,0.0405834347824613,0.0758289719842623,0.00138802522883339,0.00505185118439596,35.5328571428571
"19",18,"Warm","Control",36.59,36.8625,0.0257934083791983,0.0276676027450244,0.000664857586120021,0.00905269479998164,0.0347631683026102,0.00952804221640581,0.0395004569564653,8.1944585870185e-05,0.00131026658466342,34.59
"20",18,"Warm","Infected",37.7839285714286,37.0875,0.0559069921749287,0.0612785091096485,0.00311585288988577,0.0409516987490426,0.0659782551902087,0.0408844894178484,0.0708976425736617,0.00171013758259238,0.00416624890691193,35.7839285714286
"21",28,"Cold","Control",31.925,31.725,0.0118372877508465,0.0132596503586301,0.000140101750045602,0.00460299618818779,0.0146076511348635,0.0049103871877032,0.0163897269380542,2.10492923943222e-05,0.000215400792405437,33.925
"22",28,"Cold","Infected",32.1303571428571,32.0875,0.0212696239988678,0.0230932032283846,0.000452192334640532,0.00987509218929761,0.0296701641176581,0.0109583837138857,0.0334261359069146,9.08726843352604e-05,0.000876922494121816,34.1303571428571
"23",28,"Warm","Control",36.1444444444444,35.925,0.0127948421409506,0.0141928692614293,0.000163681189494063,0.0060447915567941,0.0160374709922076,0.00351382420450625,0.0177659524311676,3.07541279868698e-05,0.000257659470419122,34.1444444444444
"24",28,"Warm","Infected",36.7125,36.6,0.0278598535304298,0.0315448634309086,0.000775569463870386,0.0168653425063172,0.0360585749049293,0.0189832074769992,0.0404628589516902,0.000288236379313392,0.00134255745118391,34.7125
"25",35,"Cold","Control",32.2722222222222,32.075,0.0199407043445539,0.0223155722824713,0.000397473641641152,0.00759967538034293,0.0253001887830243,0.00841138591146787,0.0279047726353694,6.02460939553007e-05,0.000636374274904974,34.2722222222222
"26",35,"Cold","Infected",32.5053571428571,32.6875,0.0258083095930287,0.0297199715330724,0.000665625491647825,0.0180200148817478,0.031221336039846,0.0194244676342657,0.0346894971795121,0.000302423154442186,0.000982275078676775,34.5053571428571
"27",35,"Warm","Control",35.4725,35.475,0.0170686303893129,0.0191555720480021,0.000291253290174166,0.00740304714200862,0.0231203822791379,0.00812760299145943,0.0265174463161171,5.15252561958482e-05,0.000562850606345529,33.4725
"28",35,"Warm","Infected",35.7173076923077,35.825,0.0169735869031913,0.0197332633704076,0.000288019673128427,0.0105385587815,0.0213036908542952,0.0113516294830412,0.023860278679271,0.000109681634143866,0.00045816383735332,33.7173076923077
